,Country,Arrivals,Units,2018,2019,2020,2021,2022
796,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
797,,"   of which, cruise passengers",thousands,..,..,..,..,..
798,north macedonia,   ,,,,,,
799,,arrivals   ,,,,,,
800,, total arrivals  ,thousands,..,..,..,..,..
801,,  overnights visitors (tourists) ,thousands,707,758,118,294,537
802,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
803,,"   of which, cruise passengers",thousands,..,..,..,..,..
804,northern mariana islands,   ,,,,,,
805,,arrivals   ,,,,,,
806,, total arrivals  ,thousands,518,487,89,12.7,96.6
807,,  overnights visitors (tourists) ,thousands,517,484,87,12.2,96.1
808,,  same-day visitors (excursionists) ,thousands,1,3,2,0.5,0.5
809,,"   of which, cruise passengers",thousands,1,3,2,0.5,0.5
810,norway,   ,,,,,,
811,,arrivals   ,,,,,,
812,, total arrivals  ,thousands,..,..,..,..,..
813,,  overnights visitors (tourists) ,thousands,5688,5879,1397,1435,4979.4
814,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
815,,"   of which, cruise passengers",thousands,852,901,..,..,..
816,oman,   ,,,,,,
817,,arrivals   ,,,,,,
818,, total arrivals  ,thousands,3242,3506,869,652,2920
819,,  overnights visitors (tourists) ,thousands,2301,2500,622.4,464,2059
820,,  same-day visitors (excursionists) ,thousands,941,1006,246.2,188,861
821,,"   of which, cruise passengers",thousands,193,283,110,17,85
822,palau,   ,,,,,,
823,,arrivals   ,,,,,,
824,, total arrivals  ,thousands,..,..,..,..,..
825,,  overnights visitors (tourists) ,thousands,106,94,18.4,..,..
826,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
827,,"   of which, cruise passengers",thousands,..,..,..,..,..
828,panama,   ,,,,,,
829,,arrivals   ,,,,,,
830,, total arrivals  ,thousands,2487,2494,647,804,1946
831,,  overnights visitors (tourists) ,thousands,1785,1753,414,618,1488
832,,  same-day visitors (excursionists) ,thousands,702,741,233,186,298
833,,"   of which, cruise passengers",thousands,369,365,137,29,159
834,papua new guinea,   ,,,,,,
835,,arrivals   ,,,,,,
836,, total arrivals  ,thousands,195,211,39,17,69.4
837,,  overnights visitors (tourists) ,thousands,140,160,39,17,66.8
838,,  same-day visitors (excursionists) ,thousands,55,51,..,..,2.6
839,,"   of which, cruise passengers",thousands,55,51,..,..,2.6
840,paraguay,   ,,,,,,
841,,arrivals   ,,,,,,
842,, total arrivals  ,thousands,4183,4368,1077,571,1548
843,,  overnights visitors (tourists) ,thousands,1181,1216,252,95,579.4
844,,  same-day visitors (excursionists) ,thousands,3002,3152,825,476,968.9
845,,"   of which, cruise passengers",thousands,..,..,..,..,..
846,peru,   ,,,,,,
847,,arrivals   ,,,,,,
848,, total arrivals  ,thousands,5384,5275,1119,444,2278.5
849,,  overnights visitors (tourists) ,thousands,4419,4372,897,444,2009.3
850,,  same-day visitors (excursionists) ,thousands,965,903,222,..,269.2
851,,"   of which, cruise passengers",thousands,16,4,2,..,..
852,philippines,   ,,,,,,
853,,arrivals   ,,,,,,
854,, total arrivals  ,thousands,..,..,..,..,..
855,,  overnights visitors (tourists) ,thousands,7168,8261,1483,164,2654
856,,  same-day visitors (excursionists) ,thousands,228,162,25,..,..
857,,"   of which, cruise passengers",thousands,228,162,25,..,..
858,poland,   ,,,,,,
859,,arrivals   ,,,,,,
860,, total arrivals  ,thousands,85946,88515,51076,51026,71814
861,,  overnights visitors (tourists) ,thousands,19622,21158,8418,9722,15948
862,,  same-day visitors (excursionists) ,thousands,66324,67357,42658,41304,55867
863,,"   of which, cruise passengers",thousands,..,..,..,..,..
864,portugal,   ,,,,,,
865,,arrivals   ,,,,,,
866,, total arrivals  ,thousands,..,..,..,..,..
867,,  overnights visitors (tourists) ,thousands,16186,17283,4208,6345,16308
868,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
869,,"   of which, cruise passengers",thousands,..,..,..,..,..
870,puerto rico,   ,,,,,,
871,,arrivals   ,,,,,,
872,, total arrivals  ,thousands,4260,4931,3882,2754.7,3637.5
873,,  overnights visitors (tourists) ,thousands,3068,3180,2617.4,2754.7,3273.1
874,,  same-day visitors (excursionists) ,thousands,1192,1751,1264.6,0,364.4
875,,"   of which, cruise passengers",thousands,1192,1751,1264.6,0,364.4
876,qatar,   ,,,,,,
877,,arrivals   ,,,,,,
878,, total arrivals  ,thousands,1819,2136.5,582,611,2560
879,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
880,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
881,,"   of which, cruise passengers",thousands,..,..,..,..,..
882,reunion,   ,,,,,,
883,,arrivals   ,,,,,,
884,, total arrivals  ,thousands,574,601,255.1,..,..
885,,  overnights visitors (tourists) ,thousands,535,533.6,216.7,251,495
886,,  same-day visitors (excursionists) ,thousands,39,67.7,38.4,..,..
887,,"   of which, cruise passengers",thousands,39,68,38,..,..
888,romania,   ,,,,,,
889,,arrivals   ,,,,,,
890,, total arrivals  ,thousands,11720,12815,5023,6789,12697
891,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
892,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
893,,"   of which, cruise passengers",thousands,..,..,..,..,..
894,russian federation,   ,,,,,,
895,,arrivals   ,,,,,,
896,, total arrivals  ,thousands,24551,24419,6359,..,..
897,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
898,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
899,,"   of which, cruise passengers",thousands,..,..,..,..,..
900,rwanda,   ,,,,,,
901,,arrivals   ,,,,,,
902,, total arrivals  ,thousands,1711,1634,497,511,..
903,,  overnights visitors (tourists) ,thousands,1619,1544,460,480,..
904,,  same-day visitors (excursionists) ,thousands,92,90,27,30,..
905,,"   of which, cruise passengers",thousands,..,..,..,..,..
906,saint kitts and nevis,   ,,,,,,
907,,arrivals   ,,,,,,
908,, total arrivals  ,thousands,1278,1107,301.4,122.6,589.1
909,,  overnights visitors (tourists) ,thousands,125,120,30,20.2,79.8
910,,  same-day visitors (excursionists) ,thousands,1152,987,271,102.4,509.3
911,,"   of which, cruise passengers",thousands,1148,983,270,101.9,506.4
912,saint lucia,   ,,,,,,
913,,arrivals   ,,,,,,
914,, total arrivals  ,thousands,1165,1220,432.5,297,714
915,,  overnights visitors (tourists) ,thousands,395,424,130.7,199,356
916,,  same-day visitors (excursionists) ,thousands,770,796,301.8,98,358
917,,"   of which, cruise passengers",thousands,760,787,297.9,94,350
918,saint vincent and the grenadines,   ,,,,,,
919,,arrivals   ,,,,,,
920,, total arrivals  ,thousands,356,399,155,56.7,210
921,,  overnights visitors (tourists) ,thousands,80,84,27,24.2,59
922,,  same-day visitors (excursionists) ,thousands,274.7,315,128,32.5,151
923,,"   of which, cruise passengers",thousands,275,313,128,32.4,151
924,samoa,   ,,,,,,
925,,arrivals   ,,,,,,
926,, total arrivals  ,thousands,172,181,23.9,2.6,50.6
927,,  overnights visitors (tourists) ,thousands,164,172,23.1,2.6,49.4
928,,  same-day visitors (excursionists) ,thousands,8,8.6,0.8,..,1.2
929,,"   of which, cruise passengers",thousands,..,..,..,..,..
930,san marino,   ,,,,,,
931,,arrivals   ,,,,,,
932,, total arrivals  ,thousands,1874,1904,1015,1354,..
933,,  overnights visitors (tourists) ,thousands,84,111,58,94,..
934,,  same-day visitors (excursionists) ,thousands,1790,1793,957,1260,..
935,,"   of which, cruise passengers",thousands,..,..,..,..,..
936,sao tome and principe,   ,,,,,,
937,,arrivals   ,,,,,,
938,, total arrivals  ,thousands,..,..,..,..,..
939,,  overnights visitors (tourists) ,thousands,33.4,34.9,10.7,15.1,..
940,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
941,,"   of which, cruise passengers",thousands,..,..,..,..,..
942,saudi arabia,   ,,,,,,
943,,arrivals   ,,,,,,
944,, total arrivals  ,thousands,17570,20292,4882,3869,18256
945,,  overnights visitors (tourists) ,thousands,15334,17526,4138,3477,16638
946,,  same-day visitors (excursionists) ,thousands,2236,2767,744,392,1618
947,,"   of which, cruise passengers",thousands,..,..,..,..,..
948,serbia,   ,,,,,,
949,,arrivals   ,,,,,,
950,, total arrivals  ,thousands,..,..,..,..,..
951,,  overnights visitors (tourists) ,thousands,1711,1847,446,871,1773
952,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
953,,"   of which, cruise passengers",thousands,..,..,..,..,..
954,seychelles,   ,,,,,,
955,,arrivals   ,,,,,,
956,, total arrivals  ,thousands,405,428,124.5,183,339
957,,  overnights visitors (tourists) ,thousands,362,384,114.9,183,332
958,,  same-day visitors (excursionists) ,thousands,43,44,19.6,..,6.5
959,,"   of which, cruise passengers",thousands,43,44,19.6,..,6.5
960,sierra leone,   ,,,,,,
961,,arrivals   ,,,,,,
962,, total arrivals  ,thousands,66,71,26,44,..
963,,  overnights visitors (tourists) ,thousands,57,63,24,40,..
964,,  same-day visitors (excursionists) ,thousands,9,8,2,4,..
965,,"   of which, cruise passengers",thousands,2,3,1,2,..
966,singapore,   ,,,,,,
967,,arrivals   ,,,,,,
968,, total arrivals  ,thousands,18508,19116,2742,330,6306
969,,  overnights visitors (tourists) ,thousands,14673,15119,2086,325,5344
970,,  same-day visitors (excursionists) ,thousands,3835,3997,657,5,961
971,,"   of which, cruise passengers",thousands,..,..,..,..,..
972,sint maarten (dutch part),   ,,,,,,
973,,arrivals   ,,,,,,
974,, total arrivals  ,thousands,1775,1952,542,482,1217
975,,  overnights visitors (tourists) ,thousands,178,320,106,249,373
976,,  same-day visitors (excursionists) ,thousands,1597,1632,436,233,844
977,,"   of which, cruise passengers",thousands,1597,1632,436,233,844
978,slovakia,   ,,,,,,
979,,arrivals   ,,,,,,
980,, total arrivals  ,thousands,15299,16086,..,..,..
981,,  overnights visitors (tourists) ,thousands,5453,5630,..,..,..
982,,  same-day visitors (excursionists) ,thousands,9846,10456,..,..,..
983,,"   of which, cruise passengers",thousands,..,..,..,..,..
984,slovenia,   ,,,,,,
985,,arrivals   ,,,,,,
986,, total arrivals  ,thousands,..,..,..,..,..
987,,  overnights visitors (tourists) ,thousands,4425,4702,1216,1832,3936
988,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
989,,"   of which, cruise passengers",thousands,..,..,..,..,..
990,solomon islands,   ,,,,,,
991,,arrivals   ,,,,,,
992,, total arrivals  ,thousands,..,..,..,..,..
993,,  overnights visitors (tourists) ,thousands,27.9,28.9,4.4,0.7,..
994,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
995,,"   of which, cruise passengers",thousands,..,..,..,..,..
996,south africa,   ,,,,,,
997,,arrivals   ,,,,,,
998,, total arrivals  ,thousands,15004,14797,3886.6,2664,7342
999,,  overnights visitors (tourists) ,thousands,10472,10227.5,2802,2256,5698
1000,,  same-day visitors (excursionists) ,thousands,4532,4569,1084,408,1644
1001,,"   of which, cruise passengers",thousands,..,..,..,..,..
1002,spain,   ,,,,,,
1003,,arrivals   ,,,,,,
1004,, total arrivals  ,thousands,124456,126170,36410,51631,104968
1005,,  overnights visitors (tourists) ,thousands,82808,83509,18933,31181,71659
1006,,  same-day visitors (excursionists) ,thousands,41647,42661,17477,20450,33309
1007,,"   of which, cruise passengers",thousands,3085,3564,..,479,2541
1008,sri lanka,   ,,,,,,
1009,,arrivals   ,,,,,,
1010,, total arrivals  ,thousands,2521,2027,540,195,758.8
1011,,  overnights visitors (tourists) ,thousands,2334,1914,508,194,720
1012,,  same-day visitors (excursionists) ,thousands,187,113,32,0.6,38.8
1013,,"   of which, cruise passengers",thousands,..,..,..,..,..
1014,state of palestine,   ,,,,,,
1015,,arrivals   ,,,,,,
1016,, total arrivals  ,thousands,3429,4232,1000,..,..
1017,,  overnights visitors (tourists) ,thousands,985,1110,170,..,..
1018,,  same-day visitors (excursionists) ,thousands,2444,3122,830,..,..
1019,,"   of which, cruise passengers",thousands,..,..,..,..,..
1020,sudan,   ,,,,,,
1021,,arrivals   ,,,,,,
1022,, total arrivals  ,thousands,..,..,..,..,..
1023,,  overnights visitors (tourists) ,thousands,836,..,..,..,..
1024,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1025,,"   of which, cruise passengers",thousands,..,..,..,..,..
1026,sweden,   ,,,,,,
1027,,arrivals   ,,,,,,
1028,, total arrivals  ,thousands,..,..,..,..,..
1029,,  overnights visitors (tourists) ,thousands,7440,7616,1957,2990,6629
1030,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1031,,"   of which, cruise passengers",thousands,..,..,..,..,..
1032,switzerland,   ,,,,,,
1033,,arrivals   ,,,,,,
1034,, total arrivals  ,thousands,..,..,..,..,..
1035,,  overnights visitors (tourists) ,thousands,11715,11818,3690,4390,9159.5
1036,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1037,,"   of which, cruise passengers",thousands,..,..,..,..,..
1038,syrian arab republic,   ,,,,,,
1039,,arrivals   ,,,,,,
1040,, total arrivals  ,thousands,1802,2424,479,661,..
1041,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
1042,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1043,,"   of which, cruise passengers",thousands,..,..,..,..,..
1044,taiwan province of china,   ,,,,,,
1045,,arrivals   ,,,,,,
1046,, total arrivals  ,thousands,11067,11864,1378,140,896
1047,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
1048,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1049,,"   of which, cruise passengers",thousands,..,..,..,..,..
1050,tajikistan,   ,,,,,,
1051,,arrivals   ,,,,,,
1052,, total arrivals  ,thousands,1035,1257,351,296,..
1053,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
1054,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1055,,"   of which, cruise passengers",thousands,..,..,..,..,..
1056,"tanzania, united republic of",   ,,,,,,
1057,,arrivals   ,,,,,,
1058,, total arrivals  ,thousands,1506,1527,621,1027,..
1059,,  overnights visitors (tourists) ,thousands,1378,1443,592,922.7,1455
1060,,  same-day visitors (excursionists) ,thousands,128,84,29,104.3,..
1061,,"   of which, cruise passengers",thousands,..,..,..,..,..
1062,thailand,   ,,,,,,
1063,,arrivals   ,,,,,,
1064,, total arrivals  ,thousands,..,..,..,..,..
1065,,  overnights visitors (tourists) ,thousands,38178,39916,6725,511,..
1066,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1067,,"   of which, cruise passengers",thousands,..,..,..,..,..
1068,timor-leste,   ,,,,,,
1069,,arrivals   ,,,,,,
1070,, total arrivals  ,thousands,..,..,..,..,..
1071,,  overnights visitors (tourists) ,thousands,74.6,80.8,17.9,5.5,..
1072,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1073,,"   of which, cruise passengers",thousands,..,..,..,..,..
1074,togo,   ,,,,,,
1075,,arrivals   ,,,,,,
1076,, total arrivals  ,thousands,..,..,..,..,..
1077,,  overnights visitors (tourists) ,thousands,573,876,482,..,..
1078,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1079,,"   of which, cruise passengers",thousands,..,..,..,..,..
1080,tonga,   ,,,,,,
1081,,arrivals   ,,,,,,
1082,, total arrivals  ,thousands,77.3,94,11.5,0.2,22.3
1083,,  overnights visitors (tourists) ,thousands,54,67.3,9,0.2,18.4
1084,,  same-day visitors (excursionists) ,thousands,23.3,26.7,2.5,..,3.9
1085,,"   of which, cruise passengers",thousands,23.3,26.7,2.5,..,3.9
1086,trinidad and tobago,   ,,,,,,
1087,,arrivals   ,,,,,,
1088,, total arrivals  ,thousands,507.8,481.5,141.1,41.1,253.3
1089,,  overnights visitors (tourists) ,thousands,375.5,388.6,95.3,40.6,226.5
1090,,  same-day visitors (excursionists) ,thousands,132.3,93,45.8,0.5,26.8
1091,,"   of which, cruise passengers",thousands,125.6,91.4,45.6,..,25.9
1092,tunisia,   ,,,,,,
1093,,arrivals   ,,,,,,
1094,, total arrivals  ,thousands,..,..,..,..,..
1095,,  overnights visitors (tourists) ,thousands,8299,9429,2012,2475,6441
1096,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1097,,"   of which, cruise passengers",thousands,..,..,..,..,..
1098,türkiye,   ,,,,,,
1099,,arrivals   ,,,,,,
1100,, total arrivals  ,thousands,46113,51747,15971,30039,51388
1101,,  overnights visitors (tourists) ,thousands,45768,51192,15894,29925,50453
1102,,  same-day visitors (excursionists) ,thousands,345,555,77,114,935
1103,,"   of which, cruise passengers",thousands,..,..,..,..,..
1104,turks and caicos islands,   ,,,,,,
1105,,arrivals   ,,,,,,
1106,, total arrivals  ,thousands,1463,1599,370.4,432,..
1107,,  overnights visitors (tourists) ,thousands,441,487,164.5,405,..
1108,,  same-day visitors (excursionists) ,thousands,1022,1112,205.9,27,..
1109,,"   of which, cruise passengers",thousands,1022,1112,205.9,27,..
1110,tuvalu,   ,,,,,,
1111,,arrivals   ,,,,,,
1112,, total arrivals  ,thousands,..,..,..,..,..
1113,,  overnights visitors (tourists) ,thousands,3.1,3.7,0.6,0.04,0.244
1114,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1115,,"   of which, cruise passengers",thousands,..,..,..,..,..
1116,uganda,   ,,,,,,
1117,,arrivals   ,,,,,,
1118,, total arrivals  ,thousands,..,..,..,..,..
1119,,  overnights visitors (tourists) ,thousands,1506,1543,473,513,815
1120,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1121,,"   of which, cruise passengers",thousands,..,..,..,..,..
1122,ukraine,   ,,,,,,
1123,,arrivals   ,,,,,,
1124,, total arrivals  ,thousands,14342,13710,3382,4272,2307
1125,,  overnights visitors (tourists) ,thousands,14104,13438,3141,3973,2173
1126,,  same-day visitors (excursionists) ,thousands,238,273,241,299,134
1127,,"   of which, cruise passengers",thousands,..,..,..,..,..
1128,united arab emirates,   ,,,,,,
1129,,arrivals   ,,,,,,
1130,, total arrivals  ,thousands,23092,25282,8084,12784,..
1131,,  overnights visitors (tourists) ,thousands,20214,21561,7165,11479,..
1132,,  same-day visitors (excursionists) ,thousands,2878,3721,919,1305,..
1133,,"   of which, cruise passengers",thousands,50,48,40,26,..
1134,united kingdom,   ,,,,,,
1135,,arrivals   ,,,,,,
1136,, total arrivals  ,thousands,40283,40857,11101,6384,31244
1137,,  overnights visitors (tourists) ,thousands,38664,39418,10714,6287,30741
1138,,  same-day visitors (excursionists) ,thousands,1619,1439,387,97,503
1139,,"   of which, cruise passengers",thousands,..,..,..,..,..
1140,united states of america,   ,,,,,,
1141,,arrivals   ,,,,,,
1142,, total arrivals  ,thousands,169324.918,165478,44792,66594,..
1143,,  overnights visitors (tourists) ,thousands,79745.918,79442,19212,22280,50870
1144,,  same-day visitors (excursionists) ,thousands,89579,86036,25580,44493.3,..
1145,,"   of which, cruise passengers",thousands,..,..,..,..,..
1146,united states virgin islands,   ,,,,,,
1147,,arrivals   ,,,,,,
1148,, total arrivals  ,thousands,1922,2074,862,1072.4,..
1149,,  overnights visitors (tourists) ,thousands,381,514,302.7,684.8,..
1150,,  same-day visitors (excursionists) ,thousands,1541,1560,558.5,387.6,..
1151,,"   of which, cruise passengers",thousands,1431,1433,442,245.7,..
1152,uruguay,   ,,,,,,
1153,,arrivals   ,,,,,,
1154,, total arrivals  ,thousands,3954,3480,..,234,..
1155,,  overnights visitors (tourists) ,thousands,3469,3059,..,..,..
1156,,  same-day visitors (excursionists) ,thousands,485,421,..,..,..
1157,,"   of which, cruise passengers",thousands,242,260,..,..,..
1158,uzbekistan,   ,,,,,,
1159,,arrivals   ,,,,,,
1160,, total arrivals  ,thousands,5346,6749,1504,1881,5233
1161,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
1162,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1163,,"   of which, cruise passengers",thousands,..,..,..,..,..
1164,vanuatu,   ,,,,,,
1165,,arrivals   ,,,,,,
1166,, total arrivals  ,thousands,350.2,256,82.4,..,65
1167,,  overnights visitors (tourists) ,thousands,115.6,120.6,22,..,30
1168,,  same-day visitors (excursionists) ,thousands,234.6,135.4,60.4,..,35
1169,,"   of which, cruise passengers",thousands,234.6,135.4,60.4,..,35
1170,viet nam,   ,,,,,,
1171,,arrivals   ,,,,,,
1172,, total arrivals  ,thousands,15498,18009,3837,157,3661
1173,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
1174,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1175,,"   of which, cruise passengers",thousands,215,264,114,..,..
1176,zambia,   ,,,,,,
1177,,arrivals   ,,,,,,
1178,, total arrivals  ,thousands,..,..,..,..,..
1179,,  overnights visitors (tourists) ,thousands,1072,1266,502,554,..
1180,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1181,,"   of which, cruise passengers",thousands,..,..,..,..,..
1182,zimbabwe,   ,,,,,,
1183,,arrivals   ,,,,,,
1184,, total arrivals  ,thousands,2580,2294,639,381,1044
1185,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
1186,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
1187,,"   of which, cruise passengers",thousands,..,..,..,..,..
1188,source: world tourism organization (unwto),   ,,,,,,
